t,x1,y1,z1,x2,y2,z2
4.35,31.2882,-6.83329,34.7246,54.1534,8.42671,7.03847
4.3625,31.0089,-6.96734,34.8094,53.7222,8.16661,7.01622
4.375,30.7255,-7.09306,34.8945,53.2836,7.91972,6.99371
4.3875,30.4383,-7.21033,34.9797,52.838,7.68629,6.97095
4.4,30.1475,-7.31904,35.0653,52.3858,7.4665,6.94793
4.4125,29.8533,-7.41908,35.1511,51.9274,7.26055,6.92466
4.425,29.556,-7.51036,35.2372,51.4632,7.06862,6.90112
4.4375,29.2559,-7.59278,35.3235,50.9937,6.89089,6.87732
4.45,28.9533,-7.66626,35.4101,50.5192,6.72749,6.85326
4.4625,28.6484,-7.73074,35.4969,50.0402,6.57858,6.82893
4.475,28.3415,-7.78615,35.5841,49.5572,6.44428,6.80432
4.4875,28.0328,-7.83242,35.6715,49.0705,6.32471,6.77945
4.5,27.7227,-7.86951,35.7591,48.5807,6.21997,6.75431
4.5125,27.4114,-7.89739,35.8471,48.0881,6.13015,6.72889
4.525,27.0992,-7.91602,35.9353,47.5933,6.05532,6.70319
4.5375,26.7864,-7.92537,36.0238,47.0966,5.99555,6.67721
4.55,26.4733,-7.92544,36.1125,46.5985,5.95088,6.65095
4.5625,26.1601,-7.91621,36.2016,46.0996,5.92135,6.62441
4.575,25.8471,-7.89769,36.2909,45.6001,5.90698,6.59759
4.5875,25.5346,-7.8699,36.3806,45.1007,5.90777,6.57048
4.6,25.2229,-7.83284,36.4705,44.6017,5.92373,6.54308
4.6125,24.9123,-7.78654,36.5607,44.1035,5.95482,6.5154
4.625,24.603,-7.73105,36.6512,43.6068,6.00102,6.48743
4.6375,24.2954,-7.66641,36.7419,43.1118,6.06227,6.45916
4.65,23.9896,-7.59267,36.833,42.6191,6.13852,6.4306
4.6625,23.686,-7.50989,36.9244,42.1291,6.22969,6.40175
4.675,23.3849,-7.41814,37.016,41.6422,6.3357,6.3726
4.6875,23.0865,-7.3175,37.108,41.1589,6.45644,6.34316
4.7,22.7911,-7.20805,37.2002,40.6797,6.5918,6.31343
4.7125,22.4989,-7.08989,37.2928,40.2049,6.74164,6.28339
4.725,22.2102,-6.96312,37.3856,39.735,6.90584,6.25306
4.7375,21.9253,-6.82785,37.4787,39.2705,7.08423,6.22243
4.75,21.6445,-6.6842,37.5722,38.8117,7.27665,6.1915
4.7625,21.3679,-6.5323,37.6659,38.359,7.48292,6.16027
4.775,21.0958,-6.37226,37.76,37.9129,7.70285,6.12874
4.7875,20.8286,-6.20425,37.8543,37.4739,7.93623,6.09692
4.8,20.5663,-6.02839,37.9489,37.0421,8.18285,6.06479
4.8125,20.3093,-5.84485,38.0439,36.6182,8.44248,6.03237
4.825,20.0578,-5.6538,38.1391,36.2024,8.71487,5.99964
4.8375,19.812,-5.45539,38.2346,35.7952,8.99979,5.96662
4.85,19.5721,-5.2498,38.3304,35.3969,9.29696,5.9333
4.8625,19.3383,-5.03722,38.4266,35.0078,9.60612,5.89968
4.875,19.111,-4.81783,38.523,34.6284,9.92697,5.86576
4.8875,18.8901,-4.59183,38.6197,34.259,10.2592,5.83155
4.9,18.6761,-4.35941,38.7167,33.8998,10.6026,5.79704
4.9125,18.469,-4.12079,38.8141,33.5513,10.9567,5.76224
4.925,18.269,-3.87618,38.9117,33.2137,11.3213,5.72714
4.9375,18.0763,-3.62579,39.0096,32.8874,11.696,5.69175
4.95,17.8912,-3.36984,39.1078,32.5727,12.0805,5.65606
4.9625,17.7137,-3.10857,39.2062,32.2698,12.4745,5.62009
4.975,17.544,-2.84221,39.305,31.979,12.8775,5.58383
4.9875,17.3822,-2.57099,39.4041,31.7006,13.2892,5.54728
5,17.2286,-2.29516,39.5034,31.4348,13.7092,5.51045
